Date,AAPL,AMZN,BLK,BND,GLD,JPM,MSFT,QQQ,SPY,XOM
2022-01-04,-0.012691693708838603,-0.016915587005979504,0.006021401787456693,-0.00011876287489231974,0.007366515057776857,0.037909618456128724,-0.01714716120458204,-0.012970661682161322,-0.0003348069851951685,0.03761403551791154
2022-01-05,-0.0265995641640564,-0.018893091563845,-0.027746660533145784,-0.003445471815464396,-0.00300766493835114,-0.018281959323917518,-0.038388006021663035,-0.030721000508452057,-0.019202300428275088,0.012437513507032039
2022-01-06,-0.016693520478579638,-0.006710981961323137,0.004171229987809166,-0.0010728982181552604,-0.012244126909514819,0.010624109300291451,-0.007901802347929254,-0.0007025760551219173,-0.0009394050259861064,0.02352065704898232
2022-01-07,0.0009882807903272006,-0.004287778294336242,-0.0035956593841890427,-0.0027449939325160377,0.004551137683908024,0.00990796182330178,0.0005098125315989854,-0.010832712829436542,-0.003953483484496645,0.008196580052548086
2022-01-10,0.00011629205499752437,-0.006570176170610398,-0.02121558769619114,-0.0008374033871468844,0.0030402057039400354,0.0009571222267266144,0.0007321171846514929,0.0006579733233724738,-0.0012445578789862521,-0.0059521300276682565
2022-01-11,0.016783683260174653,0.024002125643924677,0.017004000831680743,0.0020357591560233868,0.0120646549718888,0.0010163893029244697,0.0022594232747152887,0.015022034537703455,0.009108456492347372,0.042062170822627865
2022-01-12,0.0025702311337660877,-0.0009373300985386912,-0.0034679812800978427,-0.00035818819150879033,0.002642622730480104,0.005671701815212593,0.010444967686969564,0.003965557599226566,0.0027035268777690913,-0.00294332622104454
2022-01-13,-0.01902796588893918,-0.024169655027437842,-0.01980553486880876,0.0016738245936032126,-0.0033969884760131075,-0.0012467397543358683,-0.04232256424059966,-0.025016157554377694,-0.013778579400063995,-0.007169081424654999
2022-01-14,0.005110640744523165,0.005731487003565627,-0.021876839739331633,-0.005491193388880489,-0.0028796749096049457,-0.06146346484357068,0.017716829017001334,0.006222605897311828,0.0004090727517156445,0.017556346173815962
2022-01-18,-0.018894060079007957,-0.019862738846190164,-0.019561986525540975,-0.006241847988561533,-0.001650255097062403,-0.04192788258973357,-0.024339200202186384,-0.024894247133099068,-0.01770956127379697,0.016835873879372354
2022-01-19,-0.021024719763155786,-0.016477101806013472,-0.007812106861237567,0.002415879545372812,0.015880526897095182,-0.015469010030135344,0.002246734244867543,-0.01098353830779597,-0.010383694675353494,0.0004105907085363292
2022-01-20,-0.010347234208610723,-0.02963230963415675,0.0012718950405874452,0.0010847215482630013,-0.0024988838330701757,-0.008527426521286685,-0.005703458509207393,-0.012988443268794225,-0.01106797319298447,0.0021885752846528828
