Date,AAPL,AMZN,BLK,BND,GLD,JPM,MSFT,QQQ,SPY,XOM
2022-01-03,178.10365295410156,170.4044952392578,820.0728759765625,73.10576629638672,168.3300018310547,144.1915740966797,323.1607971191406,391.18621826171875,450.6444396972656,54.76023483276367
2022-01-04,175.8432159423828,167.52200317382812,825.0108642578125,73.09708404541016,169.57000732421875,149.65782165527344,317.6195068359375,386.1122741699219,450.4935607910156,56.81998825073242
2022-01-05,171.16586303710938,164.35699462890625,802.1195678710938,72.84523010253906,169.05999755859375,146.92178344726562,305.4267272949219,374.2505187988281,441.8430480957031,57.52668762207031
2022-01-06,168.30850219726562,163.25399780273438,805.4653930664062,72.76707458496094,166.99000549316406,148.48269653320312,303.0133056640625,373.9875793457031,441.427978515625,58.87975311279297
2022-01-07,168.47483825683594,162.5540008544922,802.5692138671875,72.56732940673828,167.75,149.953857421875,303.16778564453125,369.936279296875,439.68280029296875,59.36236572265625
2022-01-10,168.4944305419922,161.48599243164062,785.542236328125,72.50656127929688,168.25999450683594,150.09738159179688,303.3897399902344,370.1796875,439.1355895996094,59.009033203125
2022-01-11,171.3223876953125,165.36199951171875,798.8995971679688,72.65416717529297,170.2899932861328,150.24993896484375,304.0752258300781,375.74053955078125,443.13543701171875,61.49108123779297
2022-01-12,171.76272583007812,165.20700073242188,796.1290283203125,72.62814331054688,170.74000549316406,151.10211181640625,307.25128173828125,377.2305603027344,444.3334655761719,61.31009292602539
2022-01-13,168.4944305419922,161.21400451660156,780.3612670898438,72.74971008300781,170.16000366210938,150.91372680664062,294.24761962890625,367.793701171875,438.211181640625,60.87055587768555
2022-01-14,169.3555450439453,162.13800048828125,763.2894287109375,72.35022735595703,169.6699981689453,141.63804626464844,299.46075439453125,370.08233642578125,438.39044189453125,61.9392204284668
2022-01-18,166.15573120117188,158.91749572753906,748.3579711914062,71.89862823486328,169.38999938964844,135.699462890625,292.172119140625,360.8694152832031,430.6267395019531,62.98202133178711
2022-01-19,162.662353515625,156.2989959716797,742.51171875,72.07232666015625,172.0800018310547,133.60032653808594,292.82855224609375,356.9057922363281,426.1552429199219,63.00788116455078
2022-01-20,160.979248046875,151.66749572753906,743.4561157226562,72.15050506591797,171.64999389648438,132.4610595703125,291.1584167480469,352.2701416015625,421.4385681152344,63.14577865600586
2022-01-21,158.92431640625,142.64300537109375,720.4027709960938,72.41968536376953,171.08999633789062,130.14662170410156,285.78125,342.5021667480469,413.1654968261719,62.197757720947266
2022-01-24,158.15127563476562,144.54400634765625,707.7202758789062,72.30680847167969,172.02999877929688,130.0299835205078,286.109619140625,344.070068359375,414.91998291015625,62.73211669921875
2022-01-25,156.35073852539062,139.98599243164062,718.27099609375,72.2113037109375,172.5800018310547,131.44735717773438,278.50238037109375,336.0941467285156,409.8542785644531,64.57640838623047
2022-01-26,156.2626953125,138.87249755859375,715.5005493164062,71.81178283691406,169.7899932861328,132.69430541992188,286.4377136230469,335.56817626953125,408.8260803222656,63.921424865722656
2022-01-27,155.80282592773438,139.6374969482422,708.7456665039062,72.04627990722656,167.60000610351562,130.35293579101562,289.4593505859375,332.1888427734375,406.8072814941406,64.74015045166016
2022-01-28,166.67433166503906,143.97799682617188,726.8968505859375,72.13313293457031,167.10000610351562,131.51913452148438,297.587890625,342.60931396484375,416.9105529785156,64.8780517578125
2022-01-31,171.02883911132812,149.57350158691406,740.2090454101562,72.08101654052734,168.08999633789062,133.3043212890625,300.2137451171875,353.56536865234375,424.41949462890625,65.46409606933594
2022-02-01,170.8625030517578,151.19349670410156,742.9163818359375,72.05232238769531,168.22999572753906,135.591796875,298.070556640625,355.97088623046875,427.2872314453125,69.66114807128906
2022-02-02,172.06610107421875,150.6125030517578,739.8222045898438,72.15669250488281,168.83999633789062,134.50636291503906,302.60784912109375,358.86334228515625,431.4380187988281,69.48017883300781
2022-02-03,169.1891326904297,138.8455047607422,724.7651977539062,71.85224151611328,168.60000610351562,133.39398193359375,290.8205261230469,344.3135681152344,421.2970275878906,68.6700668334961
2022-02-04,168.905029296875,157.63949584960938,728.407958984375,71.40858459472656,168.86000061035156,136.85667419433594,295.34814453125,348.6571044921875,423.2780456542969,70.16101837158203
2022-02-07,168.1897735595703,157.9355010986328,734.7941284179688,71.46947479248047,170.11000061035156,137.31417846679688,290.5309753417969,345.8523254394531,421.919677734375,71.00560760498047
2022-02-08,171.29571533203125,161.4134979248047,726.2222900390625,71.23463439941406,170.6300048828125,139.89773559570312,294.0159912109375,349.7380676269531,425.3911437988281,69.169921875
2022-02-09,172.7164306640625,161.1894989013672,731.268310546875,71.28679656982422,171.2100067138672,140.48081970214844,300.4356689453125,357.1492919921875,431.6172180175781,68.83879089355469
2022-02-10,168.64048767089844,159.0034942626953,699.9578247070312,70.63438415527344,170.55999755859375,139.89773559570312,291.91143798828125,349.0661926269531,423.8629150390625,68.17655181884766
